EPISODE,TITLE,AURORA_BOREALIS,BARN,BEACH,BOAT,BRIDGE,BUILDING,BUSHES,CABIN,CACTUS,CLIFF,CLOUDS,DOCK,FARM,FENCE,FIRE,FLOWERS,FOG,GRASS,HILLS,LAKE,LIGHTHOUSE,MILL,MOON,MOUNTAIN,NIGHT,OCEAN,PATH,PERSON,PORTRAIT,RIVER,ROCKS,SNOW,STRUCTURE,SUN,TREE,WATERFALL,WAVES,WINDMILL,Image
S03E11,"""RUSTIC BARN""",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/4066981.jpg
S03E12,"""HIDDEN LAKE""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/4066991.jpg
S03E13,"""PEACEFUL WATERS""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/4067001.jpg
S04E01,"""PURPLE SPLENDOR""",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/1958351.jpg
S04E02,"""TRANQUIL VALLEY""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1958361.jpg
S04E03,"""MAJESTIC MOUNTAINS""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1958371.jpg
S04E04,"""WINTER SAWSCAPE""",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/1958381.jpg
S04E05,"""EVENING SEASCAPE""",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,https://1209k.com/bobross/images/2626471.jpg
S04E06,"""WARM SUMMER DAY""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2626481.jpg
S04E07,"""CABIN IN THE WOODS""",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/2626491.jpg
S04E08,"""WETLANDS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2626501.jpg
S04E09,"""COOL WATERS""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2626511.jpg
S04E10,"""QUIET WOODS""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2626521.jpg
S04E11,"""NORTHWEST MAJESTY""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2626531.jpg
S04E12,"""AUTUMN DAYS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2626541.jpg
S04E13,"""MOUNTAIN CHALLENGE""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2986511.jpg
S05E01,"""MOUNTAIN WATERFALL""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,https://1209k.com/bobross/images/2339801.jpg
S05E02,"""TWILIGHT MEADOW""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2339811.jpg
S05E03,"""MOUNTAIN BLOSSOMS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,https://1209k.com/bobross/images/2339821.jpg
S05E04,"""WINTER STILLNESS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,https://1209k.com/bobross/images/2339831.jpg
S05E05,"""QUIET POND""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2339841.jpg
S05E06,"""OCEAN SUNRISE""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,https://1209k.com/bobross/images/2339851.jpg
S05E07,"""BUBBLING BROOK""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2339861.jpg
S05E08,"""ARIZONA SPLENDOR""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2339871.jpg
S05E09,"""ANATOMY OF A WAVE""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://1209k.com/bobross/images/2339881.jpg
S05E10,"""THE WINDMILL""",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,https://1209k.com/bobross/images/2339891.jpg
S05E11,"""AUTUMN GLORY""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2339901.jpg
S05E12,"""INDIAN GIRL""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://1209k.com/bobross/images/2339911.jpg
S05E13,"""MEADOW STREAM""",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,https://1209k.com/bobross/images/2339921.jpg
S06E01,"""BLUE RIVER""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264771.jpg
S06E02,"""NATURE'S EDGE""",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/2264781.jpg
S06E03,"""MORNING MIST""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264791.jpg
S06E04,"""WHISPERING STREAM""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264801.jpg
S06E05,"""SECLUDED FOREST""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264811.jpg
S06E06,"""SNOW TRAIL""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,https://1209k.com/bobross/images/2264821.jpg
S06E07,"""ARCTIC BEAUTY""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,https://1209k.com/bobross/images/2264831.jpg
S06E08,"""HORIZONS WEST""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264841.jpg
S06E09,"""HIGH CHATEAU""",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264851.jpg
S06E10,"""COUNTRY LIFE""",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://1209k.com/bobross/images/2264861.jpg
S06E11,"""WESTERN EXPANSE""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264871.jpg
S06E12,"""MARSHLANDS""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264881.jpg
S06E13,"""BLAZE OF COLOR""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2264891.jpg
S07E01,"""WINTER CABIN""",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/2184001.jpg
S07E02,"""SECLUDED LAKE""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2184011.jpg
S07E03,"""EVERGREENS AT SUNSET""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,https://1209k.com/bobross/images/2184021.jpg
S07E04,"""MOUNTAIN CABIN""",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/2184031.jpg
S07E05,"""PORTRAIT OF SALLY""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://1209k.com/bobross/images/2184041.jpg
S07E06,"""MISTY WATERFALL""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,https://1209k.com/bobross/images/2184051.jpg
S07E07,"""BARN AT SUNSET""",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/2184061.jpg
S07E08,"""MOUNTAIN SPLENDOR""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2184071.jpg
S07E09,"""LAKE BY MOUNTAIN""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2184081.jpg
S07E10,"""MOUNTAIN GLORY""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/2184091.jpg
S07E11,"""GREY WINTER""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,https://1209k.com/bobross/images/2184101.jpg
S07E12,"""DOCK SCENE""",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/2184111.jpg
S07E13,"""DARK WATERFALL""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,https://1209k.com/bobross/images/2184121.jpg
S08E01,"""MISTY ROLLING HILLS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1775761.jpg
S08E02,"""LAKESIDE CABIN""",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/1775771.jpg
S08E03,"""WARM WINTER DAY""",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,https://1209k.com/bobross/images/1775781.jpg
S08E04,"""WATERSIDE WAY""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1775791.jpg
S08E05,"""HUNTER'S HAVEN""",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,https://1209k.com/bobross/images/1775801.jpg
S08E06,"""BUBBLING MOUNTAIN BROOK""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1775811.jpg
S08E07,"""WINTER HIDEAWAY""",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/1775821.jpg
S08E08,"""FOOT OF THE MOUNTAIN""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1775831.jpg
S08E09,"""MAJESTIC PINE""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1775841.jpg
S08E10,"""CACTUS AT SUNSET""",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://1209k.com/bobross/images/1775851.jpg
S08E11,"""MOUNTAIN RANGE""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1775861.jpg
S08E12,"""LONELY RETREAT""",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/1775871.jpg
S08E13,"""NORTHERN LIGHTS""",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,https://1209k.com/bobross/images/1775881.jpg
S09E01,"""WINTER EVERGREENS""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,https://1209k.com/bobross/images/1691561.jpg
S09E02,"""SURF'S UP""",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,https://1209k.com/bobross/images/1691611.jpg
S09E03,"""RED SUNSET""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1691621.jpg
S09E04,"""MEADOW ROAD""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1691631.jpg
S09E05,"""WINTER OVAL""",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/1691641.jpg
S09E06,"""SECLUDED BEACH""",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,https://1209k.com/bobross/images/1691651.jpg
S09E07,"""FOREST HILLS""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1691661.jpg
S09E08,"""LITTLE HOUSE BY-THE-ROAD""",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,https://1209k.com/bobross/images/1691671.jpg
S09E09,"""MOUNTAIN PATH""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1691681.jpg
S09E10,"""COUNTRY CHARM""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://1209k.com/bobross/images/1691571.jpg
S09E11,"""NATURE'S PARADISE""",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://1209k.com/bobross/images/1691581.jpg
